API,Formula_API,MW_API,LogP_API,AlogP_API,HBA_API,HBD_API,TPSA_API,AMR_API,nRB_API,nAtom_API,nAcidicGroup_API,RC_API,nRigidB_API,nAromaticRings_API,nHB_API,E_API,Eaq_API,relE_API,relEaq_API,EHOMO_API,ELUMO_API,Dipole_API,SolvationE_API,Solubility_API,Acidicpka1_API,Acidicpka2_API,Acidicpka3_API,Acidicpka4_API,Basicpka1_API,Basicpka2_API,Basicpka3_API,Basicpka4_API,MeltingP_API,MW_Co,LogP_Co,AlogP_Co,HBA_Co,HBD_Co,TPSA_Co,AMR_Co,nRB_Co,nAtom_Co,nAcidicGroup_Co,RC_Co,nRigidB_Co,nAromaticRing_Co,nHB_Co,E_Co,Eaq_Co,relE_Co,relEaq_Co,EHOMO_Co,ELUMO_Co,Dipole_Co,SolvationE_Co,Solubility_Co,Acidicpka1_Co,Acidicpka2_Co,Acidicpka3_Co,Acidicpka4_Co,Basicpka1_Co,Basicpka2_Co,Basicpka3_Co,Basicpka4_Co,MeltingP_Co,Formation_Binary,Coformer,Formula_Co,Formation
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,78.135,-0.718,-0.317,1,0,36.28,20.56,0,10,0,0,3,0,1,-1452140.27,-1452202.65,0,0,-565.77,108.09,3.92,-62.38,681.8291,0,0,0,0,0,0,0,0,18.45,0,dimethyl sulfoxide ,C₂H₆OS,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,58.08,0.185,-0.244,1,0,17.07,16.19,0,10,0,0,3,0,1,-506759.75,-506773.18,0,0,-619.48,-40.26,2.83,-13.43,139.3071,0,0,0,0,0,0,0,0,-94.9,0,acetone,C₃H₆O,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,100.039,0.926,0.649,1,1,20.23,13.71,1,9,0,0,4,0,2,-1188217.49,-1188234.87,0,0,-757.97,157.14,1.45,-17.37,30.4614,11.49,0,0,0,0,0,0,0,-43.5,0,"2,2,2-trifluoroethanol",C₂H₃F₃O,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,183.187,-0.67,-0.299,4,1,71.62,45.15,0,17,0,2,13,1,5,-2488940.74,-2489012.43,0,0,-733.92,-214.16,3.99,-71.69,317.1382,1.94,0,0,0,0,0,0,0,228,1,saccharin,C₇H₅NO₃S,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,153.137,0.205,-0.792,4,3,83.55,42.11,1,18,1,1,10,1,7,-1446789.68,-1446836.62,0,0,-533.63,-82.71,3.39,-46.939,12.3808,9.93,0,0,0,2.41,0,0,0,150.5,1,4-Amino-2-hydroxybenzoic acid ,C₇H₇NO₃,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,153.137,0.205,-0.792,4,3,83.55,42.11,1,18,1,1,10,1,7,-1446789.68,-1446836.62,0,0,-533.63,-82.71,3.39,-46.939,12.3808,9.93,0,0,0,2.41,0,0,0,150.5,1,4-Amino-2-hydroxybenzoic acid ,C₇H₇NO₃,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,96.085,0.418,-0.379,2,0,26.3,27.12,1,11,0,1,6,1,2,-900888.08,-900904.83,0,0,-639.72,-172.18,3.63,-16.75,20.6081,0,0,0,0,0,0,0,0,-38.1,0,furfural,C₅H₄O₂,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,114.022,0.619,0.858,2,1,37.3,13.65,1,8,1,0,5,0,3,-1382517.02,-1382528.6,0,0,-801.42,-111.63,2.07,-11.58,1483.2769,0.95,0,0,0,0,0,0,0,-15.4,0,trifluoroacetic acid,C₂HF₃O₂,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,137.138,-0.143,-0.229,3,2,63.32,40.5,1,17,1,1,9,1,5,-1249386.35,-1249426.55,0,0,-545.69,-83.06,4.01,-40.2,683.13,4.77,0,0,0,2.69,0,0,0,188.5,1,4-aminobenzoic acid,C₇H₇NO₂,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,154.121,1.045,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498946.45,-1499012.65,0,0,-565.23,-122.14,3.13,-66.203,3184.1063,1.64,13.26,14.57,0,0,0,0,0,165,1,"2,6-dihydroxybenzoic acid",C₇H₆O₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,154.121,0.616,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498976.61,-1499042.46,0,0,-587.59,-117.54,0.89,-65.85,3184.1063,3.1,9.81,13.35,0,0,0,0,0,226,1,"2,4-dihydroxybenzoic acid",C₇H₆O₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,154.121,0.616,-0.158,4,3,77.76,40.17,1,17,1,1,10,1,7,-1498906.79,-1498970.38,0,0,-543.23,-124.22,1.91,-63.584,3184.1063,2.53,10.02,15.52,0,0,0,0,0,199.5,1,"2,5-dihydroxybenzoic acid",C₇H₆O₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,95.105,-1.232,-1.354,3,1,50.74,25.57,0,12,0,1,7,1,4,-838779.9,-838834.91,0,0,-578.33,-80.72,0.65,-55,27.4787,0,0,0,0,3.62,-1.62,0,0,124,1,2-aminopyrimidine,C₄H₅N₃,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,168.148,0.508,-0.094,4,2,66.76,45.2,2,20,1,1,10,1,6,-1602014.07,-1602058.08,0,0,-553.06,-102.66,4.17,-44.009,1254.752,4.16,10.14,0,0,0,0,0,0,211.5,0,vanillic acid,C₈H₈O₄,H
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,87.122,-0.148,-0.42,2,0,20.31,24.26,1,15,0,0,4,0,2,-755152.38,-755171.63,0,0,-597.13,79.41,3.67,-23.38,117.1661,0,0,0,0,0,0,0,0,-18.59,0,"N,N-Dimethyl acetamide ",C₄H₉NO,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,99.133,-0.17,-0.774,2,0,20.31,25.31,0,16,0,1,7,0,2,-855152.77,-855174.9,0,0,-595.7,86.15,3.74,-22.14,114.3049,0,0,0,0,-1.7,0,0,0,-25,0,n-methylpyrrolidone,C₅H₉NO,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,61.04,0.348,0.426,0,0,43.14,9.31,0,7,0,0,3,0,0,-642928.11,-642945.53,0,0,-751.87,-193.13,3.46,-17.42,67.033,9.14,0,0,0,0,0,0,0,-28.7,0,nitromethane,CH₃NO₂,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,357.793,1.447,1.264,5,1,66.84,103.53,5,41,1,3,22,3,6,-4066361.87,-4066408.39,0,0,-522.11,-166.14,2.32,-46.514,32.3437,3.79,0,0,0,0,0,0,0,158,1,indomethacin,C₁₉H₁₆ClNO₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,122.127,-1.236,-1.112,3,1,55.45,33.61,1,15,0,1,8,1,4,-1094051.2,-1094098.06,0,0,-653.81,-164.2,3.42,-46.865,50.9999,13.71,0,0,0,3.45,0,0,0,156,1,isonicotinamide,C₆H₆N₂O,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,72.107,0.526,-0.707,1,0,9.23,16.87,0,13,0,1,5,0,1,-609838.98,-609853.98,0,0,-601.02,224.94,1.78,-15,70.4922,0,0,0,0,0,0,0,0,-108.44,0,tetrahydrofuran,C₄H₈O,So
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,122.123,0.982,0.968,2,1,37.3,36.96,1,15,1,1,8,1,3,-1104129.65,-1104150.7,0,0,-672.69,-134.33,1.91,-21.05,430.5498,4.08,0,0,0,0,0,0,0,122.4,1,benzoic acid,C₇H₆O₂,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,146.142,0.006,-0.986,4,2,74.6,29.36,5,20,2,0,4,0,6,-1405330.41,-1405366.75,0,0,-701.14,13.16,0,-36.34,20673.6768,3.92,4.7,0,0,0,0,0,0,153.2,1,adipic acid,C₆H₁₀O₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,138.122,0.268,0.405,3,2,57.53,38.56,1,16,1,1,9,1,5,-1301540.27,-1301581.8,0,0,-605.77,-107.67,1.86,-41.53,1173.3617,4.38,9.67,0,0,0,0,0,0,214.5,1,4-hydroxybenzoic acid,C₇H₆O₃,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,132.115,-0.352,-0.698,4,2,74.6,26.45,4,17,2,0,4,0,6,-1302207.44,-1302243.65,0,0,-696.86,0.64,0.22,-36.22,37852.4867,3.76,4.56,0,0,0,0,0,0,97.8,1,glutaric acid,C₅H₈O₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,104.061,-0.299,-0.445,4,2,74.6,18.99,2,11,2,0,4,0,6,-1095935,-1095977.94,0,0,-725.66,-21.01,2.25,-42.93,38974.8936,2.43,5.92,0,0,0,0,0,0,135,1,malonic acid,C₃H₄O₄,CC
Carbamazepine,C₁₅H₁₂N₂O,236.274,0.792,1.362,3,1,46.33,78.39,1,30,0,3,19,2,4,-2003252.25,-2003286.18,0,0,-539.4,-116.22,3.18,-33.93,0.0382,15.96,0,0,0,0,0,0,0,190.5,138.122,0.908,0.405,3,2,57.53,38.56,1,16,1,1,9,1,5,-1301570.04,-1301615.7,0,0,-589.03,-148.94,2.09,-45.66,1173.3617,2.79,13.23,0,0,0,0,0,0,158,1,salicylic acid,C₇H₆O₃,CC
